Valor nulo: -9999.9															
Fecha (GMT)	Altura Signif. del Oleaje(m)	Altura signif. de cruce por cero(m)	Periodo Medio(s)	Periodo Medio Tm02(s)	Periodo de Pico(s)	Altura Máxima del Oleaje(m)	Periodo de la Ola Maxima(s)	Canal de obtencion de los datos	Direcc. Media de Proced.(0=N,90=E)	Direccion Media en el Pico Espectral(0=N,90=E)	Dispersión angular en toda la banda resuelta(grados)	Dispersión angular en el pico de energía espectral(grados)	Canal de obtencion de los datos	Temperatura del Agua(ºC)	Canal de obtencion de los datos
2023 01 05 15	0.18	0.18	2.9	2.4	3.4	0.36	-9999.9	3	182	-9999.9	39	-9999.9	3	15.8	3
2023 01 05 16	0.19	0.19	2.6	2.3	3.1	0.34	-9999.9	3	183	-9999.9	46	-9999.9	3	15.7	3
2023 01 05 17	0.18	0.18	2.6	2.3	3.1	0.3	-9999.9	3	186	-9999.9	42	-9999.9	3	15.6	3
2023 01 05 18	0.16	0.16	2.8	2.6	2.6	0.28	-9999.9	3	179	-9999.9	43	-9999.9	3	15.5	3
2023 01 05 19	0.16	0.16	2.7	2.5	3.2	0.31	-9999.9	3	177	-9999.9	46	-9999.9	3	15.4	3
2023 01 05 20	0.16	0.16	2.7	2.5	3.0	0.29	-9999.9	3	182	-9999.9	47	-9999.9	3	15.4	3
2023 01 05 21	0.18	0.17	2.8	2.6	3.5	0.3	-9999.9	3	180	-9999.9	47	-9999.9	3	15.4	3
2023 01 05 22	0.18	0.17	2.8	2.7	3.1	0.31	-9999.9	3	179	-9999.9	45	-9999.9	3	15.4	3
2023 01 05 23	0.17	0.17	3.0	2.9	4.8	0.25	-9999.9	3	149	-9999.9	49	-9999.9	3	15.3	3
2023 01 06 00	0.15	0.14	3.0	2.9	4.3	0.29	-9999.9	3	147	-9999.9	49	-9999.9	3	15.3	3
2023 01 06 01	0.13	0.12	2.9	2.8	2.6	0.21	-9999.9	3	148	-9999.9	51	-9999.9	3	15.3	3
2023 01 06 02	0.12	0.12	3.0	2.9	2.6	0.19	-9999.9	3	156	-9999.9	50	-9999.9	3	15.3	3
2023 01 06 03	0.12	0.12	3.0	2.9	7.1	0.2	-9999.9	3	158	-9999.9	47	-9999.9	3	15.3	3
2023 01 06 04	0.13	0.13	3.1	3.0	4.4	0.19	-9999.9	3	166	-9999.9	46	-9999.9	3	15.2	3
2023 01 06 05	0.14	0.13	3.1	3.0	2.8	0.27	-9999.9	3	177	-9999.9	43	-9999.9	3	15.2	3
2023 01 06 06	0.17	0.17	2.9	2.9	3.1	0.29	-9999.9	3	160	-9999.9	45	-9999.9	3	15.2	3
2023 01 06 07	0.15	0.14	3.0	2.7	3.6	0.26	-9999.9	3	149	-9999.9	48	-9999.9	3	15.2	3
2023 01 06 08	0.16	0.15	3.0	2.9	3.1	0.26	-9999.9	3	150	-9999.9	48	-9999.9	3	15.2	3
2023 01 06 09	0.14	0.13	3.1	2.9	5.7	0.21	-9999.9	3	153	-9999.9	51	-9999.9	3	15.2	3
2023 01 06 10	0.13	0.13	3.2	3.0	3.5	0.19	-9999.9	3	151	-9999.9	48	-9999.9	3	15.2	3
2023 01 06 11	0.13	0.13	3.3	3.1	3.6	0.24	-9999.9	3	152	-9999.9	44	-9999.9	3	15.3	3
2023 01 06 12	0.12	0.11	3.1	2.9	3.4	0.21	-9999.9	3	142	-9999.9	52	-9999.9	3	15.6	3
2023 01 06 13	0.13	0.13	3.3	3.0	4.1	0.22	-9999.9	3	144	-9999.9	50	-9999.9	3	15.7	3
2023 01 06 14	0.15	0.14	3.3	2.9	4.0	0.27	-9999.9	3	143	-9999.9	49	-9999.9	3	15.8	3
2023 01 06 15	0.16	0.17	2.8	2.1	4.7	0.28	-9999.9	3	165	-9999.9	44	-9999.9	3	15.7	3
2023 01 06 16	0.18	0.18	3.2	2.8	5.1	0.29	-9999.9	3	173	-9999.9	39	-9999.9	3	15.7	3
2023 01 06 17	0.23	0.22	3.6	3.4	5.0	0.38	-9999.9	3	168	-9999.9	38	-9999.9	3	15.7	3
2023 01 06 18	0.23	0.23	3.8	3.7	4.9	0.37	-9999.9	3	167	-9999.9	39	-9999.9	3	15.7	3
2023 01 06 19	0.24	0.23	3.5	3.5	4.9	0.38	-9999.9	3	164	-9999.9	40	-9999.9	3	15.6	3
2023 01 06 20	0.29	0.27	3.5	3.4	4.7	0.5	-9999.9	3	166	-9999.9	41	-9999.9	3	15.6	3
2023 01 06 21	0.27	0.26	3.5	3.3	4.7	0.5	-9999.9	3	169	-9999.9	41	-9999.9	3	15.5	3
2023 01 06 22	0.28	0.27	3.4	3.3	4.7	0.49	-9999.9	3	169	-9999.9	40	-9999.9	3	15.5	3
2023 01 06 23	0.25	0.24	3.7	3.6	4.8	0.4	-9999.9	3	163	-9999.9	39	-9999.9	3	15.4	3
2023 01 07 00	0.25	0.25	3.9	3.8	4.4	0.46	-9999.9	3	160	-9999.9	38	-9999.9	3	15.4	3
2023 01 07 01	0.25	0.24	3.9	3.9	4.5	0.36	-9999.9	3	159	-9999.9	38	-9999.9	3	15.3	3
2023 01 07 02	0.25	0.25	4.0	4.0	4.3	0.41	-9999.9	3	155	-9999.9	38	-9999.9	3	15.2	3
2023 01 07 03	0.27	0.26	3.7	3.6	4.8	0.43	-9999.9	3	147	-9999.9	40	-9999.9	3	15.2	3
2023 01 07 04	0.23	0.23	3.9	3.8	4.7	0.38	-9999.9	3	145	-9999.9	45	-9999.9	3	15.3	3
2023 01 07 05	0.25	0.24	4.1	3.8	4.5	0.45	-9999.9	3	152	-9999.9	42	-9999.9	3	15.3	3
2023 01 07 06	0.35	0.35	4.3	4.2	5.0	0.62	-9999.9	3	163	-9999.9	33	-9999.9	3	15.4	3
2023 01 07 07	0.36	0.36	4.2	4.3	5.0	0.6	-9999.9	3	163	-9999.9	37	-9999.9	3	15.3	3
2023 01 07 08	0.38	0.37	4.1	4.0	4.9	0.59	-9999.9	3	163	-9999.9	35	-9999.9	3	15.3	3
2023 01 07 09	0.39	0.38	4.2	4.2	4.9	0.63	-9999.9	3	166	-9999.9	34	-9999.9	3	15.4	3
2023 01 07 10	0.38	0.37	4.2	4.1	4.8	0.52	-9999.9	3	169	-9999.9	36	-9999.9	3	15.5	3
2023 01 07 11	0.38	0.37	4.2	4.2	5.3	0.63	-9999.9	3	168	-9999.9	35	-9999.9	3	15.6	3
2023 01 07 12	0.36	0.36	4.0	3.0	5.7	0.58	-9999.9	3	178	-9999.9	39	-9999.9	3	15.7	3
2023 01 07 13	0.35	0.35	3.7	2.9	5.4	0.58	-9999.9	3	184	-9999.9	38	-9999.9	3	15.6	3
2023 01 07 14	0.34	0.34	3.3	2.8	5.6	0.64	-9999.9	3	189	-9999.9	39	-9999.9	3	15.6	3
2023 01 07 15	0.3	0.29	3.6	2.8	5.6	0.54	-9999.9	3	178	-9999.9	40	-9999.9	3	15.6	3
2023 01 07 16	0.32	0.31	3.8	3.2	5.4	0.55	-9999.9	3	177	-9999.9	35	-9999.9	3	15.6	3
2023 01 07 17	0.35	0.35	3.5	3.3	5.3	0.59	-9999.9	3	182	-9999.9	34	-9999.9	3	15.6	3
2023 01 07 18	0.43	0.43	3.2	3.0	5.1	0.64	-9999.9	3	195	-9999.9	30	-9999.9	3	15.5	3
2023 01 07 19	0.44	0.43	3.4	3.0	5.1	0.86	-9999.9	3	188	-9999.9	32	-9999.9	3	15.4	3
2023 01 07 20	0.5	0.48	3.2	3.0	5.4	0.76	-9999.9	3	187	-9999.9	35	-9999.9	3	15.4	3
2023 01 07 21	0.47	0.45	3.4	3.3	5.3	0.71	-9999.9	3	187	-9999.9	33	-9999.9	3	15.3	3
2023 01 07 22	0.45	0.43	3.8	3.6	5.0	0.75	-9999.9	3	175	-9999.9	31	-9999.9	3	15.3	3
2023 01 07 23	0.45	0.43	3.9	3.9	5.3	0.61	-9999.9	3	176	-9999.9	29	-9999.9	3	15.3	3
2023 01 08 00	0.42	0.41	4.0	3.9	5.1	0.6	-9999.9	3	172	-9999.9	32	-9999.9	3	15.3	3
2023 01 08 01	0.4	0.38	4.2	4.2	5.0	0.58	-9999.9	3	171	-9999.9	31	-9999.9	3	15.2	3
2023 01 08 02	0.35	0.34	4.1	4.0	5.4	0.54	-9999.9	3	167	-9999.9	34	-9999.9	3	15.3	3
2023 01 08 03	0.37	0.35	4.0	4.2	5.1	0.54	-9999.9	3	170	-9999.9	35	-9999.9	3	15.5	3
2023 01 08 04	0.4	0.39	4.0	4.0	5.3	0.65	-9999.9	3	169	-9999.9	32	-9999.9	3	15.5	3
2023 01 08 05	0.39	0.38	3.9	3.9	5.3	0.65	-9999.9	3	168	-9999.9	34	-9999.9	3	15.6	3
2023 01 08 06	0.42	0.4	4.1	4.0	5.3	0.68	-9999.9	3	168	-9999.9	29	-9999.9	3	15.6	3
2023 01 08 07	0.43	0.41	4.1	4.0	5.0	0.79	-9999.9	3	167	-9999.9	30	-9999.9	3	15.6	3
2023 01 08 08	0.45	0.44	4.3	4.3	5.3	0.69	-9999.9	3	164	-9999.9	30	-9999.9	3	15.6	3
2023 01 08 09	0.56	0.55	4.8	4.7	6.1	0.95	-9999.9	3	169	-9999.9	28	-9999.9	3	15.6	3
2023 01 08 10	0.6	0.59	5.0	5.0	6.1	0.96	-9999.9	3	168	-9999.9	30	-9999.9	3	15.6	3
2023 01 08 11	0.71	0.68	5.2	5.0	6.5	1.06	-9999.9	3	176	-9999.9	31	-9999.9	3	15.6	3
2023 01 08 12	0.75	0.73	5.2	5.3	6.9	1.44	-9999.9	3	174	-9999.9	27	-9999.9	3	15.6	3
2023 01 08 13	0.78	0.74	4.9	5.0	6.7	1.27	-9999.9	3	171	-9999.9	27	-9999.9	3	15.7	3
2023 01 08 14	0.74	0.71	4.7	4.6	6.7	1.3	-9999.9	3	173	-9999.9	29	-9999.9	3	15.7	3
2023 01 08 15	0.92	0.87	5.1	5.2	6.9	1.52	-9999.9	3	173	-9999.9	25	-9999.9	3	15.7	3
2023 01 08 16	0.92	0.88	5.2	5.2	6.9	1.51	-9999.9	3	171	-9999.9	27	-9999.9	3	15.7	3
2023 01 08 17	1.02	0.98	5.4	5.3	6.9	1.72	-9999.9	3	171	-9999.9	28	-9999.9	3	15.7	3
2023 01 08 18	1.26	1.24	5.6	5.8	6.9	2.02	-9999.9	3	169	-9999.9	25	-9999.9	3	15.6	3
2023 01 08 19	1.09	1.05	5.2	5.5	6.5	1.62	-9999.9	3	166	-9999.9	29	-9999.9	3	15.6	3
2023 01 08 20	1.24	1.2	5.3	5.5	7.1	1.66	-9999.9	3	167	-9999.9	29	-9999.9	3	15.6	3
2023 01 08 21	1.16	1.13	5.0	4.9	7.1	2.33	-9999.9	3	170	-9999.9	29	-9999.9	3	15.6	3
2023 01 08 22	1.25	1.22	5.2	5.2	7.1	1.98	-9999.9	3	168	-9999.9	26	-9999.9	3	15.5	3
2023 01 08 23	1.24	1.21	5.3	5.3	8.0	2.45	-9999.9	3	165	-9999.9	27	-9999.9	3	15.5	3
2023 01 09 00	1.25	1.22	5.3	5.1	7.7	1.77	-9999.9	3	169	-9999.9	26	-9999.9	3	15.5	3
2023 01 09 01	1.16	1.11	5.3	5.0	8.0	2.16	-9999.9	3	167	-9999.9	26	-9999.9	3	15.5	3
2023 01 09 02	1.19	1.15	5.4	5.2	7.7	1.95	-9999.9	3	171	-9999.9	25	-9999.9	3	15.4	3
2023 01 09 03	1.07	1.03	5.2	5.2	7.4	1.68	-9999.9	3	170	-9999.9	27	-9999.9	3	15.4	3
2023 01 09 04	1.15	1.13	5.3	5.1	8.0	1.9	-9999.9	3	173	-9999.9	25	-9999.9	3	15.3	3
